ID	DOI	16ness	DB	Missing Accession	515f	806r	seq_method	gene_region1	Year
Howe_Ringus_et_al._2016_-_Divergent_responses_of_viral	10.1038/ismej.2015.183	TRUE	mg-rast		TRUE	TRUE	miseq	v5	2016
Hu_Du_et_al._2016_-_Illuminating_Anaerobic_Microbial_Community	10.1128/AEM.03409-15	TRUE			TRUE	TRUE	illumina	v4	2016
Hu_Geng_et_al._2017_-_Exogenous_Fecal_Microbiota_Transplantation	10.3389/fmicb.2017.02663	TRUE			TRUE	TRUE	hiseq		2017
Hu_Wang_et_al._2016_-_Field-based_evidence_for_copper_contamination	10.1111/1462-2920.13370	TRUE			TRUE	TRUE	miseq	v4	2016
Huang_Liu_et_al._2017_-_The_Pelagic_Bacterium_Paraphotobacterium_marinum	10.3389/fmicb.2017.01994	TRUE			TRUE	TRUE	miseq	v4	2017
Hupeden_Wegen_et_al._2016_-_Relative_Abundance_of_Nitrotoga_spp	10.1128/AEM.03163-15	TRUE			TRUE	TRUE	454		2016
Hussain_Hamid_et_al._2018_-_Bacterial_community_assemblages	10.1093/femsec/fiy142	TRUE			TRUE	TRUE	miseq	v4	2018
Javan_Finley_et_al._2017_-_Cadaver_Thanatomicrobiome_Signatures	10.3389/fmicb.2017.02096	TRUE			TRUE	TRUE	miseq	v3	2017
Jeon_Vieira-Neto_et_al._2015_-_Uterine_Microbiota_Progression_from_Calving	10.1128/AEM.01753-15	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2015
Ji_Rhoads_et_al._2017_-_Impact_of_water_heater_temperature	10.1038/ismej.2017.14	TRUE	qiita		TRUE	TRUE	miseq		2017
Jiang_Dong_et_al._2016_-_High-Throughput_Single-Cell_Cultivation_on_Microfluidic	10.1128/AEM.03588-15	TRUE			TRUE	TRUE	miseq	v4	2016
Johnson_Youmans_et_al._2018_-_A_Consistent_and_Predictable_Commercial	10.1128/AEM.00362-18	TRUE			TRUE	TRUE	miseq		2018
Keating_Hughes_et_al._2018_-_Cold_adaptation_and_replicable_microbial	10.1093/femsec/fiy095	TRUE	NCBI	submission ID	TRUE	TRUE	miseq	v4	2018
Keijser_van_den_Broek_et_al._2018_-_The_Impact_of_Maltitol-Sweetened_Chewing	10.3389/fmicb.2018.00381	TRUE			TRUE	TRUE	miseq		2018
Knelman_Graham_et_al._2018_-_Interspecific_Plant_Interactions_Reflected	10.3389/fmicb.2018.00128	TRUE	figshare		TRUE	TRUE	miseq	v4	2018
Kothari_Wu_et_al._2019_-_Large_Circular_Plasmids_from_Groundwater	10.1128/mBio.02899-18	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2019
Kueneman_Weiss_et_al._2017_-_Composition_of_Micro-eukaryotes	10.3389/fmicb.2017.02350	TRUE			TRUE	TRUE	hiseq	v4	2017
Kurm_Geisen_et_al._2019_-_A_low_proportion_of_rare	10.1111/1462-2920.14492	TRUE			TRUE	TRUE	454	v4	2019
Kwon_Jung_et_al._2019_-_Dynamics_of_microbial_communities	10.1007/s12275-019-8661-2	TRUE			TRUE	TRUE	miseq	v4	2019
Li_Gao_et_al._2018_-_The_relative_abundance_of_alkane-degrading	10.1111/1462-2920.14382	TRUE			TRUE	TRUE	illumina	v4	2018
Li_Li_et_al._2016_-_Variations_of_rhizosphere_bacterial_communities	10.1111/jam.13225	TRUE			TRUE	TRUE	miseq	v4	2016
Li_Zhan_et_al._2018_-_Evaluating_the_Safety_of_Potential	10.3389/fmicb.2018.01943	TRUE			TRUE	TRUE	miseq	v4	2018
Liang_Jiang_et_al._2015_-_Long-term_soil_transplant_simulating_climate	10.1038/ismej.2015.78	TRUE			TRUE	TRUE	miseq		2015
Liu_Bian_et_al._2017_-_Starter_Feeding_Supplementation_Alters_Colonic	10.3389/fmicb.2017.00429	TRUE			TRUE	TRUE	miseq	v4	2017
Liu_Wang_et_al._2018_-_Forest_conversion_induces_seasonal_variation	10.1111/1462-2920.14017	TRUE			TRUE	TRUE	hiseq	v4	2018
Luter_Bannister_et_al._2017_-_Microbiome_analysis_of_a_disease	10.1093/femsec/fix074	TRUE	qiita		TRUE	TRUE	hiseq	v4	2017
Ma_Zhang_et_al._2018_-_Biodegradation_and_Biotransformation_of_Indole	10.3389/fmicb.2018.02625	TRUE			TRUE	TRUE	illumina		2018
Mahmoudi_Beaupre_et_al._2017_-_Sequential_bioavailability_of_sedimentary_organic	10.1111/1462-2920.13745	TRUE			TRUE	TRUE	miseq	v4	2017
Mancabelli_Milani_et_al._2017_-_Identification_of_universal_gut_microbial	10.1093/femsec/fix153	TRUE			TRUE	TRUE	illumina		2017
Masse_Prescott_et_al._2017_-_Plant_Community_and_Nitrogen_Deposition	10.1128/AEM.03319-16	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2017
Mauchline_Chedom-Fotso_et_al._2015_-_An_analysis_of_Pseudomonas_genomic	10.1111/1462-2920.13038	TRUE			TRUE	TRUE	miseq	v4	2015
McFarlin_Perkins_et_al._2018_-_Biodegradation_of_Crude_Oil	10.3389/fmicb.2018.01788	TRUE			TRUE	TRUE	miseq	v4	2018
McGovern_Waters_et_al._2018_-_Evaluating_Established_Methods_for_Rumen	10.3389/fmicb.2018.01365	TRUE			TRUE	TRUE	miseq	v3	2018
McHugh_Compson_et_al._2017_-_Climate_controls_prokaryotic_community_composition	10.1093/femsec/fix116	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2017
McKay_Prasil_et_al._2015_-_Freshwater_ice_as_habitat	10.1111/1758-2229.12322	TRUE			TRUE	TRUE	miseq	v4	2015
Meisel_Mayassi_et_al._2017_-_Interleukin-15_promotes_intestinal_dysbiosis	10.1038/ismej.2016.114	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2017
Mengesha_Gill_et_al._2017_-_A_study_of_selected_factors	10.1111/jam.13530	TRUE			TRUE	TRUE	miseq		2017
Menke_Gillingham_et_al._2017_-_Home-Made_Cost_Effective_Preservation_Buffer	10.3389/fmicb.2017.00102	TRUE			TRUE	TRUE	miseq	v4	2017
Meyer_Baskaran_et_al._2017_-_Succession_and_dynamics_of_Pristionchus	10.1111/1462-2920.13697 	TRUE			TRUE	TRUE	miseq		2017
Miller_Oakeson_et_al._2016_-_Effect_of_Dietary_Oxalate	10.1128/AEM.00216-16	TRUE			TRUE	TRUE	miseq	v4	2016
Montonye_Ericsson_et_al._2018_-_Acclimation_and_Institutionalization	10.3389/fmicb.2018.01085	TRUE			TRUE	TRUE	miseq	v2	2018
Morrissey_Mau_et_al._2018_-_Taxonomic_patterns_in_the_nitrogen	10.1111/1462-2920.14051	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2018
Mueller_Belnap_et_al._2015_-_Soil_bacterial_and_fungal_community	10.3389/fmicb.2015.00891	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2015
OBrien_Gibbons_et_al._2016_-_Spatial_scale_drives_patterns	10.1111/1462-2920.13231	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2016
Ortiz-Alvarez_Casamayor_2016_-_High_occurrence_of_Pacearchaeota	10.1111/1758-2229.12370	TRUE			TRUE	TRUE	miseq	v4	2016
Ostrensky_Horodesky_et_al._2018_-_Metagenomic_evaluation_of_the_effects	10.1111/jam.14045	TRUE			TRUE	TRUE	miseq		2018
Peng_Wei_et_al._2018_-_Debromination_of_Hexabromocyclododecane_by_Anaerobic	10.3389/fmicb.2018.01515	TRUE			TRUE	TRUE	hiseq	v4	2018
Planet_Parker_et_al._2016_-_Lambda_Interferon_Restructures_the_Nasal	10.1128/mBio.01939-15	TRUE			TRUE	TRUE	miseq	v4	2016
Pratscher_Vollmers_et_al._2018_-_Unravelling_the_Identity	10.1111/1462-2920.14036	TRUE			TRUE	TRUE	hiseq		2018
Qin_Han_et_al._2018_-_Vertical_distribution_and_community_composition	10.1111/jam.13758	TRUE			TRUE	TRUE	miseq		2018
Qin_Zhang_et_al._2017_-_EPSP_of_L._casei_BL23	10.3389/fmicb.2017.02406	TRUE			TRUE	TRUE	hiseq		2017
Ramanathan_Boddicker_et_al._2017_-_Nitrifier_Gene_Abundance_and_Diversity	10.3389/fmicb.2017.02136	TRUE			TRUE	TRUE	miseq	v5	2017
Rath_Fierer_et_al._2019_-_Linking_bacterial_community_composition	10.1038/s41396-018-0313-8 	TRUE			TRUE	TRUE	miseq	v4	2019
Ren_Niu_et_al._2016_-_Comparison_of_microbial_taxonomic	10.1186/s12866-016-0731-6	TRUE			TRUE	TRUE	miseq	v4	2016
Rokop_Horton_et_al._2015_-_Interactions_between_Cooccurring_Lactic_Acid	10.1128/AEM.01259-15	TRUE			TRUE	TRUE	miseq		2015
Roos_Vandamme_et_al._2018_-_Wort_Substrate_Consumption_and_Metabolite	10.3389/fmicb.2018.02763	TRUE			TRUE	TRUE	miseq		2018
Ruiz-Gonzalez_Archambault_et_al._2018_-_Soils_associated_to_different_tree	10.1093/femsec/fiy115	TRUE			TRUE	TRUE	miseq	v6	2018
Ruiz-Uriguen_Shuai_et_al._2018_-_Electrode_Colonization_by_the_Feammox	10.1128/AEM.02029-18	TRUE			TRUE	TRUE	hiseq	v1	2018
Samo_Kimbrel_et_al._2018_-_Attachment_between_heterotrophic_bacteria	10.1111/1462-2920.14357	TRUE			TRUE	TRUE	miseq		2018
Sangster_Hegarty_et_al._2016_-_Bacterial_and_Fungal_Microbiota_Changes	10.3389/fmicb.2016.00789	TRUE			TRUE	TRUE	miseq		2016
Santiago-Rodriguez_Fornaciari_et_al._2016_-_Taxonomic_and_predicted_metabolic_profiles	10.1093/femsec/fiw182	TRUE	mg-rast		TRUE	TRUE	miseq	v3	2016
Saurav_Bar-Shalom_et_al._2016_-_In_Search_of_Alternative_Antibiotic	10.3389/fmicb.2016.00416	TRUE	qiita		TRUE	TRUE	hiseq	v4	2016
Shen_Shi_et_al._2016_-_Dramatic_Increases_of_Soil_Microbial	10.3389/fmicb.2016.01184	TRUE	mg-rast		TRUE	TRUE	miseq		2016
Sheng_Bibby_et_al._2016_-_Geochemical_and_Temporal_Influences	10.1128/AEM.00917-16	TRUE	mg-rast		TRUE	TRUE	miseq		2016
Shi_Nuccio_et_al._2015_-_Successional_Trajectories_of_Rhizosphere_Bacterial	10.1128/mBio.00746-15	TRUE			TRUE	TRUE	miseq	v4	2015
Shigyo_Umeki_et_al._2019_-_Plant_functional_diversity_and_soil	10.1093/femsec/fiz025	TRUE	NCBI	submission ID	TRUE	TRUE	miseq		2019
Singer_Bushnell_et_al._2016_-_High-resolution_phylogenetic_microbial_community_profiling	10.1038/ismej.2015.249	TRUE			TRUE	TRUE	miseq	v3	2016
Smith_Rocha_et_al._2015_-_Natural_Bacterial_Communities_Serve	10.1128/mBio.00326-15	TRUE			TRUE	TRUE	miseq	v4	2015
Smith_Snowberg_et_al._2015_-_Dietary_input_of_microbes	10.1038/ismej.2015.64	TRUE			TRUE	TRUE	miseq		2015
Stegen_Hurlbert_et_al._2016_-_Aligning_the_Measurement_of_Microbial	10.3389/fmicb.2016.01487	TRUE			TRUE	TRUE	miseq	v4	2016
Stenkamp-Strahm_McConnel_et_al._2018_-_Associations_between_Escherichia_coli_O157	10.1111/jam.13679	TRUE			TRUE	TRUE	hiseq		2018
Stewart_Embleton_et_al._2017_-_Cesarean_or_Vaginal_Birth_Does	10.3389/fmicb.2017.01008	TRUE			TRUE	TRUE	miseq	v4	2017
Stursova_Barta_et_al._2016_-_Small-scale_spatial_heterogeneity_of_ecosystem	10.1093/femsec/fiw185	TRUE			TRUE	TRUE	miseq	v4	2016
Sun_Xiao_et_al._2016_-_Analysis_of_bacterial_diversity	10.1007/s13213-016-1223-5	TRUE			TRUE	TRUE	miseq	v4	2016
Szabo_Liebana_et_al._2017_-_Microbial_Population_Dynamics_and_Ecosystem	10.3389/fmicb.2017.00770	TRUE			TRUE	TRUE	miseq		2017
Tan_Wei_et_al._2016_-_Inclusion_of_Konjac_Flour	10.1128/AEM.01374-16	TRUE			TRUE	TRUE	miseq		2016
Tao_Qin_et_al._2018_-_Traits_of_Exogenous_Species	10.3389/fmicb.2018.03087	TRUE			TRUE	TRUE	miseq		2018
Techtman_Mahmoudi_et_al._2017_-_Comparison_of_Thaumarchaeotal_populations	10.1093/femsec/fix128	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2017
Techtmann_Zhuang_et_al._2017_-_Corexit_9500_Enhances_Oil_Biodegradation	10.1128/AEM.03462-16	TRUE			TRUE	TRUE	miseq	v4	2017
Tlaskal_Zrustova_et_al._2017_-_Bacteria_associated_with_decomposing_dead	10.1093/femsec/fix157	TRUE	mg-rast		TRUE	TRUE	454	v4	2017
Toju_Kurokawa_et_al._2019_-_Factors_Influencing_Leaf-_and_Root-Associated	10.3389/fmicb.2019.00241	TRUE			TRUE	TRUE	miseq	v4	2019
Traving_Bentzon-Tilia_et_al._2016_-_Coupling_Bacterioplankton_Populations_and_Environment	10.3389/fmicb.2016.01533	TRUE			TRUE	TRUE	miseq	v4	2016
Traving_Rowe_et_al._2017_-_The_Effect_of_Increased_Loads	10.3389/fmicb.2017.00351	TRUE			TRUE	TRUE	miseq	v4	2017
Wan_Zhou_et_al._2018_-_Syntrophic_Growth_of_Geobacter_sulfurreducens	10.3389/fmicb.2018.01572	TRUE			TRUE	TRUE	miseq	v3	2018
Wang_Huang_et_al._2017_-_High-Salt_Diet_Has_a_Certain	10.3389/fmicb.2017.01838	TRUE			TRUE	TRUE	miseq	v4	2017
Wang_Lu_et_al._2017_-_Habitat-specific_patterns_and_drivers	10.1038/ismej.2017.11	TRUE			TRUE	TRUE	miseq		2017
Wang_Ye_et_al._2015_-_Bacterial_biogeography_in_the_coastal	10.1111/1462-2920.12884	TRUE			TRUE	TRUE	miseq	v4	2015
Wang_Zhang_et_al._2018_-_Dynamic_Distribution_of_Gut_Microbiota	10.3389/fmicb.2018.02509	TRUE			TRUE	TRUE	miseq	v3	2018
Wu_Wen_et_al._2015_-_Phasing_amplicon_sequencing_on_Illumina	10.1186/s12866-015-0450-4	TRUE			TRUE	TRUE	miseq	v4	2015
Xie_Luo_et_al._2018_-_Localized_high_abundance_of_Marine	10.1111/1462-2920.14004	TRUE			TRUE	TRUE	miseq		2018
Yan_Li_et_al._2016_-_Environmental_filtering_decreases_with_fish	10.1111/1462-2920.13365	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2016
Yang_Higgins_et_al._2017_-_Grape_pomace_compost_harbors_organohalide-respiring	10.1038/ismej.2017.127	TRUE	mg-rast		TRUE	TRUE	miseq	v4	2017
Yang_Li_et_al._2017_-_An_Integrated_Insight	10.3389/fmicb.2017.02179	TRUE			TRUE	TRUE	miseq	v4	2017
Yang_Zou_et_al._2019_-_Chinese_white_truffles_shape	10.1007/s13213-019-1445-4	TRUE			TRUE	TRUE	miseq		2019
Zeglin_Wang_et_al._2016_-_Organic_matter_quantity_and_source	10.1111/1462-2920.12924	TRUE			TRUE	TRUE	miseq		2016
Zhang_Liu_et_al._2016_-_Changes_of_soil_prokaryotic_communities	10.1093/femsec/fiw026	TRUE			TRUE	TRUE	miseq		2016
Zhang_Luo_et_al._2018_-_Changes_in_bacterial_communities	10.1007/s13213-018-1379-2 	TRUE			TRUE	TRUE	miseq	v4	2018
Zhou_Zhao_et_al._2017_-_Microbial_Mechanistic_Insight	10.3389/fmicb.2017.02242	TRUE			TRUE	TRUE	hiseq	v4	2017
Zifcakova_Vetrovsky_et_al._2016_-_Microbial_activity_in_forest_soil	10.1111/1462-2920.13026	TRUE			TRUE	TRUE	hiseq	v4	2016
c945b0f0-f746-4b3e-abfd-944d0eec9192	10.1186/s40168-016-0218-6	TRUE			TRUE	TRUE	miseq	v4	2016
daff7a3c-5790-4dd4-a455-8a314c8cc1d3	10.1186/s40168-017-0254-x	TRUE			TRUE	TRUE	miseq		2017
